genre,movie_title
Action,"Hardflip"
Action,"Kickboxer: Vengeance"
Action,"Feast"
Action,"Armored"
Action,"The Dark Knight Rises"
Action,"Hostage"
Action,"Poseidon"
Action,"Avengers: Age of Ultron"
Action,"X-Men: Days of Future Past"
Action,"The Avengers"
Action,"The Avengers"
Action,"Inception"
Action,"Furious 7"
Action,"Snow White and the Huntsman"
Action,"Captain America: Civil War"
Action,"Thor"
Action,"Thor: The Dark World"
Action,"Batman Begins"
Action,"Assassins"
Action,"The Expendables 2"
Action,"The Dark Knight"
Action,"Night at the Museum"
Action,"Fast Five"
Action,"The Tourist"
Action,"The Tourist"
Action,"Pirates of the Caribbean: On Stranger Tides"
Action,"Reign of Fire"
Action,"The Expendables 3"
Action,"X-Men: First Class"
Action,"Harsh Times"
Action,"X-Men: Apocalypse"
Action,"Killer Elite"
Action,"Sin City: A Dame to Kill For"
Action,"Iron Man 2"
Action,"Pirates of the Caribbean: Dead Man's Chest"
Action,"Pirates of the Caribbean: At World's End"
Action,"Pirates of the Caribbean: The Curse of the Black Pearl"
Action,"Jupiter Ascending"
Action,"Austin Powers: The Spy Who Shagged Me"
Action,"RocknRolla"
Action,"The Huntsman: Winter's War"
Action,"The Expendables"
Action,"Once Upon a Time in Mexico"
Action,"Megamind"
Action,"Spider-Man 3"
Action,"Spider-Man 3"
Action,"Quigley Down Under"
Action,"The Lone Ranger"
Action,"The Fast and the Furious"
Action,"The Fast and the Furious"
Action,"The Fast and the Furious"
Action,"Saving Private Ryan"
Action,"Get Smart"
Action,"The Book of Eli"
Action,"Star Wars: Episode III - Revenge of the Sith"
Action,"Timeline"
Action,"Spider-Man 2"
Action,"Star Wars: Episode II - Attack of the Clones"
Action,"Mortdecai"
Action,"Die Hard"
Action,"Spider-Man"
Action,"X-Men Origins: Wolverine"
Action,"Mad Max: Fury Road"
Action,"Homefront"
Action,"The Fifth Element"
Action,"Star Trek"
Action,"Iron Man"
Action,"Terminator Genisys"
Action,"Righteous Kill"
Action,"Robin Hood: Prince of Thieves"
Action,"The Jackal"
Action,"Star Wars: Episode I - The Phantom Menace"
Action,"The Equalizer"
Action,"The Death and Life of Bobby Z"
Action,"Looper"
Action,"Rush"
Action,"Hidalgo"
Action,"Safe House"
Action,"Captain America: The Winter Soldier"
Action,"Kung Fu Panda 3"
Action,"Plastic"
Action,"Pixels"
Action,"The Italian Job"
Action,"The Island"
Action,"The Island"
Action,"Mission: Impossible III"
Action,"Gangster Squad"
Action,"In Time"
Action,"Street Kings"
Action,"Swelter"
Action,"Desperado"
Action,"15 Minutes"
Action,"War"
Action,"Courage Under Fire"
Action,"Lara Croft Tomb Raider: The Cradle of Life"
Action,"The One"
Action,"The Siege"
Action,"Guardians of the Galaxy"
Action,"World War Z"
Action,"300"
Action,"Noah"
Action,"Lucy"
Action,"Zathura: A Space Adventure"
Action,"G.I. Joe: Retaliation"
Action,"Olympus Has Fallen"
Action,"R.I.P.D."
Action,"Takers"
Action,"Beowulf"
Action,"Star Trek: Nemesis"
Action,"Haywire"
Action,"Chain Reaction"
Action,"Crank: High Voltage"
Action,"Iron Man 3"
Action,"Outbreak"
Action,"The Cold Light of Day"
Action,"Crimson Tide"
Action,"Superman Returns"
Action,"Gamer"
Action,"Body of Lies"
Action,"This Means War"
Action,"Wild Card"
Action,"The Quick and the Dead"
Action,"The Man in the Iron Mask"
Action,"Gone in Sixty Seconds"
Action,"Transporter 2"
Action,"Ghosts of Mars"
Action,"Crank"
Action,"Death Race"
Action,"The Amazing Spider-Man 2"
Action,"The Amazing Spider-Man"
Action,"Parker"
Action,"In the Heart of the Sea"
Action,"Blackhat"
Action,"The Bounty"
Action,"Journey 2: The Mysterious Island"
