movie,Cast,Role
 on Flux ,Karyn Kusama,Director
#Horror ,Tara Subkoff,Director
[Rec] ,Jaume Balaguer?,Director
[Rec] 2 ,Jaume Balaguer?,Director
10 Cloverfield Lane ,Dan Trachtenberg,Director
10 Days in a Madhouse ,Timothy Hines,Director
10 Things I Hate About You ,Gil Junger,Director
"10,000 B.C.             ",Christopher Barnard,Director
102 Dalmatians ,Kevin Lima,Director
10th & Wolf ,Robert Moresco,Director
11:14,Greg Marcks,Director
12 Angry Men ,Sidney Lumet,Director
12 Rounds ,Renny Harlin,Director
12 Years a Slave ,Steve McQueen,Director
127 Hours ,Danny Boyle,Director
13 Going on 30 ,Gary Winick,Director
13 Hours ,Michael Bay,Director
1408,Mikael H?fstr?m,Director
15 Minutes ,John Herzfeld,Director
16 Blocks ,Richard Donner,Director
16 to Life ,Becky Smith,Director
17 Again ,Burr Steers,Director
1776,Peter H. Hunt,Director
1911,Li Zhang,Director
1941,Steven Spielberg,Director
1982,Tommy Oliver,Director
2 Fast 2 Furious ,John Singleton,Director
2 Guns ,Baltasar Korm?kur,Director
2:13,Charles Adelman,Director
20 Dates ,Myles Berkowitz,Director
20 Feet from Stardom ,Morgan Neville,Director
"20,000 Leagues Under the Sea ",Richard Fleischer,Director
"20,000 Leagues Under the Sea ",Richard Fleischer,Director
200 Cigarettes ,Risa Bramon Garcia,Director
2001: A Space Odyssey ,Stanley Kubrick,Director
2012,Roland Emmerich,Director
2016: Obama's America ,Dinesh D'Souza,Director
2046,Kar-Wai Wong,Director
21,Robert Luketic,Director
21 & Over ,Jon Lucas,Director
21 Grams ,Alejandro G. I??rritu,Director
21 Jump Street ,Phil Lord,Director
22 Jump Street ,Phil Lord,Director
24 7: Twenty Four Seven ,Shane Meadows,Director
25th Hour ,Spike Lee,Director
27 Dresses ,Anne Fletcher,Director
28 Days ,Betty Thomas,Director
28 Days Later... ,Danny Boyle,Director
28 Weeks Later ,Juan Carlos Fresnadillo,Director
3,Tom Tykwer,Director
3 Backyards ,Eric Mendelsohn,Director
3 Days to Kill ,McG,Director
3 Men and a Baby ,Leonard Nimoy,Director
3 Ninjas Kick Back ,Charles T. Kanganis,Director
3 Strikes ,DJ Pooh,Director
3:10 to Yuma ,James Mangold,Director
30 Days of Night ,David Slade,Director
30 Minutes or Less ,Ruben Fleischer,Director
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,Craig Moss,Director
300,Zack Snyder,Director
300: Rise of an Empire ,Noam Murro,Director
3000 Miles to Graceland ,Demian Lichtenstein,Director
"4 Months, 3 Weeks and 2 Days ",Cristian Mungiu,Director
40 Days and 40 Nights ,Michael Lehmann,Director
42,Brian Helgeland,Director
42nd Street ,Lloyd Bacon,Director
47 Ronin ,Carl Rinsch,Director
5 Days of War ,Renny Harlin,Director
50 First Dates ,Peter Segal,Director
50/50 ,Jonathan Levine,Director
500 Days of Summer ,Marc Webb,Director
51 Birch Street ,Doug Block,Director
54,Mark Christopher,Director
55 Days at Peking ,Nicholas Ray,Director
8 Days ,Jaco Booyens,Director
8 Heads in a Duffel Bag ,Tom Schulman,Director
8 Mile ,Curtis Hanson,Director
8 Women ,Fran?ois Ozon,Director
8: The Mormon Proposition ,Reed Cowan,Director
88 Minutes ,Jon Avnet,Director
8MM ,Joel Schumacher,Director
9,Shane Acker,Director
9  Weeks ,Adrian Lyne,Director
90 Minutes in Heaven ,Michael Polish,Director
A Beautiful Mind ,Ron Howard,Director
A Beginner's Guide to Snuff ,Mitchell Altieri,Director
A Better Life ,Chris Weitz,Director
A Bridge Too Far ,Richard Attenborough,Director
A Bug's Life ,John Lasseter,Director
A Charlie Brown Christmas ,Bill Melendez,Director
A Christmas Carol ,Robert Zemeckis,Director
A Christmas Story ,Bob Clark,Director
A Cinderella Story ,Mark Rosman,Director
A Civil Action ,Steven Zaillian,Director
A Dangerous Method ,David Cronenberg,Director
A Dog of Flanders ,Kevin Brodie,Director
A Dog's Breakfast ,David Hewlett,Director
A Dog's Breakfast ,David Hewlett,Director
A Farewell to Arms ,Frank Borzage,Director
A Few Good Men ,Rob Reiner,Director
A Fine Step ,Jonathan Meyers,Director
A Fistful of Dollars ,Sergio Leone,Director
A Funny Thing Happened on the Way to the Forum ,Richard Lester,Director
A Good Day to Die Hard ,John Moore,Director
A Good Year ,Ridley Scott,Director
A Guy Named Joe ,Victor Fleming,Director
A Guy Thing ,Chris Koch,Director
A Hard Day's Night ,Richard Lester,Director
A Haunted House ,Michael Tiddes,Director
A Haunted House 2 ,Michael Tiddes,Director
A History of Violence ,David Cronenberg,Director
A Home at the End of the World ,Michael Mayer,Director
A Knight's Tale ,Brian Helgeland,Director
A League of Their Own ,Penny Marshall,Director
A Lego Brickumentary ,Kief Davidson,Director
A Lonely Place to Die ,Julian Gilbey,Director
A Lot Like Love ,Nigel Cole,Director
A Low Down Dirty Shame ,Keenen Ivory Wayans,Director
A Madea Christmas ,Tyler Perry,Director
A Man Apart ,F. Gary Gray,Director
A Man for All Seasons ,Fred Zinnemann,Director
A Mighty Heart ,Michael Winterbottom,Director
A Mighty Wind ,Christopher Guest,Director
A Million Ways to Die in the West ,Seth MacFarlane,Director
A Monster in Paris ,Bibo Bergeron,Director
A Most Violent Year ,J.C. Chandor,Director
A Most Wanted Man ,Anton Corbijn,Director
A Night at the Roxbury ,John Fortenberry,Director
A Nightmare on Elm Street ,Wes Craven,Director
A Nightmare on Elm Street ,Wes Craven,Director
A Nightmare on Elm Street 2: Freddy's Revenge ,Jack Sholder,Director
A Nightmare on Elm Street 3: Dream Warriors ,Chuck Russell,Director
A Nightmare on Elm Street 4: The Dream Master ,Renny Harlin,Director
A Nightmare on Elm Street 5: The Dream Child ,Stephen Hopkins,Director
A Passage to India ,David Lean,Director
A Perfect Getaway ,David Twohy,Director
A Perfect Plan ,Pascal Chaumeil,Director
A Plague So Pleasant ,Benjamin Roberds,Director
A Prairie Home Companion ,Robert Altman,Director
A Room for Romeo Brass ,Shane Meadows,Director
A Room with a View ,James Ivory,Director
A Scanner Darkly ,Richard Linklater,Director
A Separation ,Asghar Farhadi,Director
A Serious Man ,Ethan Coen,Director
A Shine of Rainbows ,Vic Sarin,Director
A Simple Plan ,Sam Raimi,Director
A Simple Wish ,Michael Ritchie,Director
A Single Man ,Tom Ford,Director
A Sound of Thunder ,Peter Hyams,Director
A Streetcar Named Desire ,Elia Kazan,Director
A Tale of Three Cities ,Mabel Cheung,Director
A Thin Line Between Love and Hate ,Martin Lawrence,Director
A Thousand Words ,Brian Robbins,Director
A Time to Kill ,Joel Schumacher,Director
A True Story ,Malcolm Goodwin,Director
A Turtle's Tale: Sammy's Adventures ,Ben Stassen,Director
A Very Harold & Kumar 3D Christmas ,Todd Strauss-Schulson,Director
A Very Long Engagement ,Jean-Pierre Jeunet,Director
A View to a Kill ,John Glen,Director
A Walk Among the Tombstones ,Scott Frank,Director
A Walk on the Moon ,Tony Goldwyn,Director
A Walk to Remember ,Adam Shankman,Director
A Warrior's Tail ,Maksim Fadeev,Director
"A Woman, a Gun and a Noodle Shop ",Yimou Zhang,Director
"A Woman, a Gun and a Noodle Shop ",Yimou Zhang,Director
A.I. Artificial Intelligence ,Steven Spielberg,Director
Abandon ,Stephen Gaghan,Director
Abandoned ,John Laing,Director
ABCD (Any Body Can Dance) ,Remo,Director
Abduction ,John Singleton,Director
Aberdeen ,Hans Petter Moland,Director
About a Boy ,Chris Weitz,Director
About Last Night ,Steve Pink,Director
About Schmidt ,Alexander Payne,Director
About Time ,Richard Curtis,Director
Abraham Lincoln: Vampire Hunter ,Timur Bekmambetov,Director
Absentia ,Mike Flanagan,Director
Absolute Power ,Clint Eastwood,Director
Accidental Love ,David O. Russell,Director
Ace Ventura: Pet Detective ,Tom Shadyac,Director
Ace Ventura: When Nature Calls ,Steve Oedekerk,Director
Across the Universe ,Julie Taymor,Director
Across the Universe ,Julie Taymor,Director
Act of Valor ,Mike McCoy,Director
Action Jackson ,Craig R. Baxley,Director
Adam ,Max Mayer,Director
Adam Resurrected ,Paul Schrader,Director
Adaptation. ,Spike Jonze,Director
Addicted ,Bille Woodruff,Director
Admission ,Paul Weitz,Director
Adore ,Anne Fontaine,Director
Adulterers ,H.M. Coakley,Director
Adventureland ,Greg Mottola,Director
After ,Ryan Smith,Director
After Earth ,M. Night Shyamalan,Director
After the Sunset ,Brett Ratner,Director
After.Life ,Agnieszka Wojtowicz-Vosloo,Director
Against the Ropes ,Charles S. Dutton,Director
Against the Wild ,Richard Boddington,Director
Agent Cody Banks ,Harald Zwart,Director
Agent Cody Banks 2: Destination London ,Kevin Allen,Director
Agora ,Alejandro Amen?bar,Director
Aimee & Jaguar ,Max F?rberb?ck,Director
Air Bud ,Charles Martin Smith,Director
Air Force One ,Wolfgang Petersen,Director
Airborne ,Rob Bowman,Director
Airlift ,Raja Menon,Director
Airplane! ,Jim Abrahams,Director
Ajami ,Scandar Copti,Director
Akeelah and the Bee ,Doug Atchison,Director
Akira ,Katsuhiro ?tomo,Director
Aladdin ,Ron Clements,Director
Albert Nobbs ,Rodrigo Garc?a,Director
Albino Alligator ,Kevin Spacey,Director
Alex & Emma ,Rob Reiner,Director
Alex Cross ,Rob Cohen,Director
Alex Rider: Operation Stormbreaker ,Geoffrey Sax,Director
Alexander ,Oliver Stone,Director
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",Miguel Arteta,Director
Alexander's Ragtime Band ,Henry King,Director
Alfie ,Charles Shyer,Director
Ali ,Michael Mann,Director
Alias Betty ,Claude Miller,Director
Alice in Wonderland ,Tim Burton,Director
Alice in Wonderland ,Tim Burton,Director
Alice Through the Looking Glass ,James Bobin,Director
Alien ,Ridley Scott,Director
Alien 3 ,David Fincher,Director
Alien Uprising ,Dominic Burns,Director
Alien Zone ,Sharron Miller,Director
Alien: Resurrection ,Jean-Pierre Jeunet,Director
Aliens ,James Cameron,Director
Aliens in the Attic ,John Schultz,Director
Aliens vs. Predator: Requiem ,Colin Strause,Director
Alive ,Frank Marshall,Director
All About Steve ,Phil Traill,Director
All About the Benjamins ,Kevin Bray,Director
All Good Things ,Andrew Jarecki,Director
All Hat ,Leonard Farlinger,Director
All Is Bright ,Phil Morrison,Director
All Is Lost ,J.C. Chandor,Director
All or Nothing ,Mike Leigh,Director
All Superheroes Must Die ,Jason Trost,Director
All That Jazz ,Bob Fosse,Director
All the Boys Love Mandy Lane ,Jonathan Levine,Director
All the King's Men ,Steven Zaillian,Director
All the Pretty Horses ,Billy Bob Thornton,Director
All the Queen's Men ,Stefan Ruzowitzky,Director
All the Real Girls ,David Gordon Green,Director
Allegiant ,Robert Schwentke,Director
Alleluia! The Devil's Carnival ,Darren Lynn Bousman,Director
Almost Famous ,Cameron Crowe,Director
Aloft ,Claudia Llosa,Director
Aloha ,Cameron Crowe,Director
Aloha ,Cameron Crowe,Director
Alone in the Dark ,Uwe Boll,Director
Alone with Her ,Eric Nicholas,Director
Along Came a Spider ,Lee Tamahori,Director
Along Came Polly ,John Hamburg,Director
Along the Roadside ,Zoran Lisinac,Director
Alpha and Omega ,Anthony Bell,Director
Alpha and Omega 4: The Legend of the Saw Toothed Cave ,Richard Rich,Director
Alvin and the Chipmunks ,Tim Hill,Director
Alvin and the Chipmunks: Chipwrecked ,Mike Mitchell,Director
Alvin and the Chipmunks: The Road Chip ,Walt Becker,Director
Alvin and the Chipmunks: The Squeakquel ,Betty Thomas,Director
Always Woodstock ,Rita Merson,Director
Am lie ,Jean-Pierre Jeunet,Director
Amadeus ,Milos Forman,Director
Amen. ,Costa-Gavras,Director
America Is Still the Place ,Patrick Gilles,Director
American Beauty ,Sam Mendes,Director
American Desi ,Piyush Dinker Pandya,Director
American Dreamz ,Paul Weitz,Director
American Gangster ,Ridley Scott,Director
American Graffiti ,George Lucas,Director
American Heist ,Sarik Andreasyan,Director
American Hero ,Nick Love,Director
American History X ,Tony Kaye,Director
American Hustle ,David O. Russell,Director
American Ninja 2: The Confrontation ,Sam Firstenberg,Director
American Outlaws ,Les Mayfield,Director
American Pie ,Paul Weitz,Director
American Pie 2 ,J.B. Rogers,Director
American Psycho ,Mary Harron,Director
American Reunion ,Jon Hurwitz,Director
American Sniper ,Clint Eastwood,Director
American Splendor ,Shari Springer Berman,Director
American Wedding ,Jesse Dylan,Director
America's Sweethearts ,Joe Roth,Director
Amidst the Devil's Wings ,Daniel Columbie,Director
Amigo ,John Sayles,Director
Amistad ,Steven Spielberg,Director
Amnesiac ,Michael Polish,Director
Among Giants ,Sam Miller,Director
Amores Perros ,Alejandro G. I??rritu,Director
Amour ,Michael Haneke,Director
An Alan Smithee Film: Burn Hollywood Burn ,Arthur Hiller,Director
An American Carol ,David Zucker,Director
An American Girl Holiday ,Nadia Tass,Director
An American Haunting ,Courtney Solomon,Director
An American in Hollywood ,Sai Varadan,Director
An Education ,Lone Scherfig,Director
An Everlasting Piece ,Barry Levinson,Director
An Ideal Husband ,Oliver Parker,Director
An Inconvenient Truth ,Davis Guggenheim,Director
An Unfinished Life ,Lasse Hallstr?m,Director
Anaconda ,Luis Llosa,Director
Anacondas: The Hunt for the Blood Orchid ,Dwight H. Little,Director
Analyze That ,Harold Ramis,Director
Analyze This ,Harold Ramis,Director
Anastasia ,Don Bluth,Director
Anatomy ,Stefan Ruzowitzky,Director
Anchorman 2: The Legend Continues ,Adam McKay,Director
Anchorman: The Legend of Ron Burgundy ,Adam McKay,Director
And So It Goes ,Rob Reiner,Director
And Then Came Love ,Richard Schenkman,Director
Anderson's Cross ,Jerome Elston Scott,Director
Angel Eyes ,Luis Mandoki,Director
Angela's Ashes ,Alan Parker,Director
Angels & Demons ,Ron Howard,Director
Animal House ,John Landis,Director
Animal Kingdom: Let's go Ape ,Jamel Debbouze,Director
Animals ,Collin Schiffli,Director
