movie,cast,Role
 on Flux ,Charlize Theron,actor
#Horror ,Timothy Hutton,actor
[Rec] ,Manuela Velasco,actor
[Rec] 2 ,Jonathan D. Mellor,actor
10 Cloverfield Lane ,Bradley Cooper,actor
10 Days in a Madhouse ,Christopher Lambert,actor
10 Things I Hate About You ,Joseph Gordon-Levitt,actor
"10,000 B.C.             ",Mathew Buck,actor
102 Dalmatians ,Ioan Gruffudd,actor
10th & Wolf ,Brian Dennehy,actor
11:14,Henry Thomas,actor
12 Angry Men ,Jack Warden,actor
12 Monkeys             ,Amanda Schull,actor
12 Rounds ,Taylor Cole,actor
12 Years a Slave ,Quvenzhan? Wallis,actor
127 Hours ,James Franco,actor
13 Going on 30 ,Jennifer Garner,actor
13 Hours ,Toby Stephens,actor
1408,Drew Powell,actor
15 Minutes ,Robert De Niro,actor
16 Blocks ,Bruce Willis,actor
16 to Life ,Will Rothhaar,actor
17 Again ,Matthew Perry,actor
1776,Blythe Danner,actor
1911,Bingbing Li,actor
1941,Christopher Lee,actor
1982,Bokeem Woodbine,actor
2 Fast 2 Furious ,Paul Walker,actor
2 Guns ,Denzel Washington,actor
2:13,Teri Polo,actor
20 Dates ,Tia Carrere,actor
20 Feet from Stardom ,Sheryl Crow,actor
"20,000 Leagues Under the Sea ",James Mason,actor
"20,000 Leagues Under the Sea ",James Mason,actor
200 Cigarettes ,Janeane Garofalo,actor
2001: A Space Odyssey ,Keir Dullea,actor
2012,Oliver Platt,actor
2016: Obama's America ,Barack Obama,actor
2046,Li Gong,actor
21,Kevin Spacey,actor
21 & Over ,Justin Chon,actor
21 Grams ,Naomi Watts,actor
21 Jump Street ,Channing Tatum,actor
22 Jump Street ,Channing Tatum,actor
24 7: Twenty Four Seven ,Bob Hoskins,actor
25th Hour ,Philip Seymour Hoffman,actor
27 Dresses ,Judy Greer,actor
28 Days ,Steve Buscemi,actor
28 Days Later... ,Noah Huntley,actor
28 Weeks Later ,Jeremy Renner,actor
3,Devid Striesow,actor
3 Backyards ,Embeth Davidtz,actor
3 Days to Kill ,Connie Nielsen,actor
3 Men and a Baby ,Tom Selleck,actor
