movie_title,duration,gross,imdb_score,budget,title_year
3,119,59774.00,6.8,,2010
9,79,31743332.00,7.1,30000000.00,2009
21,123,81159365.00,6.8,35000000.00,2008
42,128,95001343.00,7.5,40000000.00,2013
54,121,16574731.00,5.8,13000000.00,1998
300,117,210592590.00,7.7,65000000.00,2006
1408,114,71975611.00,6.8,25000000.00,2007
1776,168,,7.6,4000000.00,1972
1911,121,127437.00,6,18000000.00,2011
1941,142,,5.9,35000000.00,1979
1982,90,,7.1,1000000.00,2013
2012,158,166112167.00,5.8,200000000.00,2009
2046,129,261481.00,7.5,12000000.00,2004
Horror,101,,3.3,1500000.00,2015
on Flux,93,25857987.00,5.5,62000000.00,2005
[Rec] 2,85,27024.00,6.6,5600000.00,2009
[Rec],78,,7.5,1500000.00,2007
10 Cloverfield Lane,104,71897215.00,7.3,15000000.00,2016
10 Days in a Madhouse,111,14616.00,7.5,12000000.00,2015
10 Things I Hate About You,97,38176108.00,7.2,16000000.00,1999
"10,000 B.C.",22,,7.2,,
102 Dalmatians,100,66941559.00,4.8,85000000.00,2000
10th & Wolf,107,53481.00,6.4,8000000.00,2006
11:14,85,,7.2,6000000.00,2003
12 Angry Men,96,,8.9,350000.00,1957
12 Monkeys,42,,7.6,,
12 Rounds,108,12232937.00,5.6,22000000.00,2009
12 Years a Slave,134,56667870.00,8.1,20000000.00,2013
127 Hours,94,18329466.00,7.6,18000000.00,2010
13 Going on 30,98,56044241.00,6.1,37000000.00,2004
13 Hours,144,52822418.00,7.4,50000000.00,2016
15 Minutes,120,24375436.00,6.1,42000000.00,2001
16 Blocks,102,36883539.00,6.6,52000000.00,2006
16 to Life,89,,6.3,1000000.00,2009
17 Again,102,64149837.00,6.4,20000000.00,2009
2 Fast 2 Furious,107,127083765.00,5.9,76000000.00,2003
2 Guns,109,75573300.00,6.7,61000000.00,2013
2:13,96,,4.8,3500000.00,2009
20 Dates,87,536767.00,5.3,60000.00,1998
20 Feet from Stardom,91,4946250.00,7.4,1000000.00,2013
"20,000 Leagues Under the Sea",127,,7.2,5000000.00,1954
"20,000 Leagues Under the Sea",127,,7.2,5000000.00,1954
200 Cigarettes,101,6851636.00,5.9,6000000.00,1999
2001: A Space Odyssey,161,56715371.00,8.3,12000000.00,1968
2016: Obama's America,87,33349949.00,5.1,2500000.00,2012
21 & Over,93,25675765.00,5.9,13000000.00,2013
21 Grams,124,16248701.00,7.7,20000000.00,2003
21 Jump Street,109,138447667.00,7.2,42000000.00,2012
22 Jump Street,112,191616238.00,7.1,50000000.00,2014
24 7: Twenty Four Seven,96,,7.1,,1997
25th Hour,108,13060843.00,7.7,15000000.00,2002
27 Dresses,111,76806312.00,6.1,30000000.00,2008
28 Days Later...,113,45063889.00,7.6,8000000.00,2002
28 Days,103,37035515.00,6,43000000.00,2000
28 Weeks Later,100,28637507.00,7,15000000.00,2007
3 Backyards,88,,5.2,300000.00,2010
3 Days to Kill,123,30688364.00,6.2,28000000.00,2014
3 Men and a Baby,102,167780960.00,5.9,11000000.00,1987
3 Ninjas Kick Back,93,11784000.00,4.3,20000000.00,1994
3 Strikes,82,9821335.00,4,6000000.00,2000
3:10 to Yuma,122,53574088.00,7.8,55000000.00,2007
30 Days of Night,113,39568996.00,6.6,32000000.00,2007
30 Minutes or Less,83,37053924.00,6.1,28000000.00,2011
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,80,,2.6,3000000.00,2013
300: Rise of an Empire,102,106369117.00,6.2,110000000.00,2014
3000 Miles to Graceland,125,15738632.00,5.9,42000000.00,2001
3rd Rock from the Sun,60,,7.8,,
"4 Months, 3 Weeks and 2 Days",113,1185783.00,7.9,590000.00,2007
40 Days and 40 Nights,96,37939782.00,5.6,17000000.00,2002
42nd Street,89,2300000.00,7.7,439000.00,1933
47 Ronin,128,38297305.00,6.3,175000000.00,2013
5 Days of War,113,17149.00,5.6,20000000.00,2011
50 First Dates,99,120776832.00,6.8,75000000.00,2004
50/50,100,34963967.00,7.7,8000000.00,2011
500 Days of Summer,95,32391374.00,7.7,7500000.00,2009
51 Birch Street,90,84689.00,7.5,,2005
55 Days at Peking,154,,6.8,9000000.00,1963
8 Days,90,,6.9,2500000.00,2014
