director_name,duration,actor_2_name,gross,actor_1_name,movie_title,num_voted_users,actor_3_name,language,country,budget,title_year,imdb_score,Action,Adventure,Fantasy,Sci-Fi,Thriller,Documentary,Family,Musical,Romance,Mystery,Western,Comedy,Sport,Horror,Drama,War,History,Animation,Biography,Crime
Adam McKay,98,Will Ferrell,84136909,Darcy Donavan,Anchorman: The Legend of Ron Burgundy?,267921,Steve Carell,English,USA,26000000,2004,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
David R. Ellis,82,Andrew Fiscella,66466372,Krista Allen,The Final Destination?,75345,Shantel VanSanten,English,USA,40000000,2009,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Travis Romero,67,Lorraine Ziff,,Matthew Ziff,Treachery?,344,Michael Biehn,English,USA,625000,2013,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Johnny Remo,112,Randy Wayne,96734,Matthew Ziff,Hardflip?,606,Raquel Elizabeth Ames,English,USA,1000000,2012,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
John Stockwell,90,T.J. Storm,,Matthew Ziff,Kickboxer: Vengeance?,246,Sam Medina,,USA,17000000,2016,9.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Gulager,95,Eric Dane,,Krista Allen,Feast?,25542,Henry Rollins,English,USA,3200000,2005,6.4,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
John Erick Dowdle,89,Jay Hernandez,31691811,Andrew Fiscella,Quarantine?,57446,Dania Ramirez,English,USA,12000000,2008,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nimr?d Antal,88,Fred Ward,15988876,Andrew Fiscella,Armored?,26236,Lorna Raver,English,USA,27000000,2009,5.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andrew Douglas,90,Chlo? Grace Moretz,64255243,Jimmy Bennett,The Amityville Horror?,80903,Ryan Reynolds,English,USA,19000000,2005,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Tom Shadyac,96,Morgan Freeman,100289690,Jimmy Bennett,Evan Almighty?,115099,Steve Carell,English,USA,175000000,2007,5.4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Christopher Nolan,164,Christian Bale,448130642,Tom Hardy,The Dark Knight Rises?,1144337,Joseph Gordon-Levitt,English,USA,250000000,2012,8.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florent-Emilio Siri,113,Bruce Willis,34636443,Jimmy Bennett,Hostage?,93790,Ransford Doherty,English,USA,52000000,2005,6.6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Richard Loncraine,105,Harrison Ford,48745150,Jimmy Bennett,Firewall?,50170,Mary Lynn Rajskub,English,USA,50000000,2006,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wolfgang Petersen,98,Mike Vogel,60655503,Jimmy Bennett,Poseidon?,82380,Andre Braugher,English,USA,160000000,2006,5.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Joss Whedon,141,Robert Downey Jr.,458991599,Chris Hemsworth,Avengers: Age of Ultron?,462669,Scarlett Johansson,English,USA,250000000,2015,7.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Singer,149,Peter Dinklage,233914986,Jennifer Lawrence,X-Men: Days of Future Past?,514125,Hugh Jackman,English,USA,200000000,2014,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Mottern,90,Joey Lauren Adams,52166,Jimmy Bennett,Trucker?,2792,Matthew Lawrence,English,USA,2000000,2008,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jaume Collet-Serra,123,CCH Pounder,41573740,Jimmy Bennett,Orphan?,141663,Aryana Engineer,English,USA,,2009,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Robert Rodriguez,89,Leo Howard,20916309,Jimmy Bennett,Shorts?,5332,Jake Short,English,USA,40000000,2009,4.9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Joss Whedon,173,Robert Downey Jr.,623279547,Chris Hemsworth,The Avengers?,995415,Scarlett Johansson,English,USA,220000000,2012,8.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joss Whedon,173,Robert Downey Jr.,623279547,Chris Hemsworth,The Avengers?,995415,Scarlett Johansson,English,USA,220000000,2012,8.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David O. Russell,138,Christian Bale,150117807,Jennifer Lawrence,American Hustle?,358416,Bradley Cooper,English,USA,40000000,2013,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Francis Lawrence,137,Philip Seymour Hoffman,281666058,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2?,166137,Josh Hutcherson,English,USA,160000000,2015,6.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
