movie	title_year	duration	gross	imdb_score	budget
 on Flux 	2005	93	25857987	5.5	62000000
#Horror 	2015	101		3.3	1500000
[Rec] 	2007	78		7.5	1500000
[Rec] 2 	2009	85	27024	6.6	5600000
10 Cloverfield Lane 	2016	104	71897215	7.3	15000000
10 Days in a Madhouse 	2015	111	14616	7.5	12000000
10 Things I Hate About You 	1999	97	38176108	7.2	16000000
"10,000 B.C.             "		22		7.2	
102 Dalmatians 	2000	100	66941559	4.8	85000000
10th & Wolf 	2006	107	53481	6.4	8000000
11:14	2003	85		7.2	6000000
12 Angry Men 	1957	96		8.9	350000
12 Monkeys             		42		7.6	
12 Rounds 	2009	108	12232937	5.6	22000000
12 Years a Slave 	2013	134	56667870	8.1	20000000
127 Hours 	2010	94	18329466	7.6	18000000
13 Going on 30 	2004	98	56044241	6.1	37000000
13 Hours 	2016	144	52822418	7.4	50000000
1408	2007	114	71975611	6.8	25000000
15 Minutes 	2001	120	24375436	6.1	42000000
16 Blocks 	2006	102	36883539	6.6	52000000
16 to Life 	2009	89		6.3	1000000
17 Again 	2009	102	64149837	6.4	20000000
1776	1972	168		7.6	4000000
1911	2011	121	127437	6	18000000
1941	1979	142		5.9	35000000
1982	2013	90		7.1	1000000
2 Fast 2 Furious 	2003	107	127083765	5.9	76000000
2 Guns 	2013	109	75573300	6.7	61000000
2:13	2009	96		4.8	3500000
20 Dates 	1998	87	536767	5.3	60000
20 Feet from Stardom 	2013	91	4946250	7.4	1000000
"20,000 Leagues Under the Sea "	1954	127		7.2	5000000
"20,000 Leagues Under the Sea "	1954	127		7.2	5000000
200 Cigarettes 	1999	101	6851636	5.9	6000000
2001: A Space Odyssey 	1968	161	56715371	8.3	12000000
2012	2009	158	166112167	5.8	200000000
2016: Obama's America 	2012	87	33349949	5.1	2500000
2046	2004	129	261481	7.5	12000000
21	2008	123	81159365	6.8	35000000
21 & Over 	2013	93	25675765	5.9	13000000
21 Grams 	2003	124	16248701	7.7	20000000
21 Jump Street 	2012	109	138447667	7.2	42000000
22 Jump Street 	2014	112	191616238	7.1	50000000
24 7: Twenty Four Seven 	1997	96		7.1	
25th Hour 	2002	108	13060843	7.7	15000000
27 Dresses 	2008	111	76806312	6.1	30000000
28 Days 	2000	103	37035515	6	43000000
28 Days Later... 	2002	113	45063889	7.6	8000000
28 Weeks Later 	2007	100	28637507	7	15000000
3	2010	119	59774	6.8	
3 Backyards 	2010	88		5.2	300000
3 Days to Kill 	2014	123	30688364	6.2	28000000
3 Men and a Baby 	1987	102	167780960	5.9	11000000
3 Ninjas Kick Back 	1994	93	11784000	4.3	20000000
3 Strikes 	2000	82	9821335	4	6000000
3:10 to Yuma 	2007	122	53574088	7.8	55000000
30 Days of Night 	2007	113	39568996	6.6	32000000
30 Minutes or Less 	2011	83	37053924	6.1	28000000
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo 	2013	80		2.6	3000000
300	2006	117	210592590	7.7	65000000
300: Rise of an Empire 	2014	102	106369117	6.2	110000000
3000 Miles to Graceland 	2001	125	15738632	5.9	42000000
3rd Rock from the Sun             		60		7.8	
"4 Months, 3 Weeks and 2 Days "	2007	113	1185783	7.9	590000
40 Days and 40 Nights 	2002	96	37939782	5.6	17000000
42	2013	128	95001343	7.5	40000000
42nd Street 	1933	89	2300000	7.7	439000
47 Ronin 	2013	128	38297305	6.3	175000000
5 Days of War 	2011	113	17149	5.6	20000000
50 First Dates 	2004	99	120776832	6.8	75000000
50/50 	2011	100	34963967	7.7	8000000
500 Days of Summer 	2009	95	32391374	7.7	7500000
51 Birch Street 	2005	90	84689	7.5	
54	1998	121	16574731	5.8	13000000
55 Days at Peking 	1963	154		6.8	9000000
8 Days 	2014	90		6.9	2500000
8 Heads in a Duffel Bag 	1997	95	3559990	5.3	3000000
8 Mile 	2002	110	116724075	7	41000000
8 Women 	2002	111	3076425	7.1	8000000
8: The Mormon Proposition 	2010	80	99851	7.1	2500000
88 Minutes 	2007	108	16930884	5.9	30000000
8MM 	1999	123	36283504	6.5	40000000
9	2009	79	31743332	7.1	30000000
9  Weeks 	1986	112	6734844	5.9	17000000
90 Minutes in Heaven 	2015	121	4700361	4.6	5000000
A Beautiful Mind 	2001	135	170708996	8.2	58000000
A Beginner's Guide to Snuff 	2016	87		8.7	
A Better Life 	2011	98	1754319	7.2	10000000
A Bridge Too Far 	1977	175	50800000	7.4	26000000
A Bug's Life 	1998	95	162792677	7.2	120000000
A Charlie Brown Christmas 	1965	25		8.4	150000
A Christmas Carol 	2009	96	137850096	6.8	200000000
A Christmas Story 	1983	94		8.1	4000000
A Cinderella Story 	2004	95	51431160	5.9	20000000
A Civil Action 	1998	115	56702901	6.5	60000000
A Dangerous Method 	2011	99	5702083	6.5	15000000
A Dog of Flanders 	1999	100	2148212	6.3	7000000
